2	Why do some people sent friend request to people whom they have not interacted in any thread? I don’t accept buddy request unless I notice their comments here. And some male ids got only female friends…and some female ids got only male friends....why so? Can someone give a logical answer to this? Illogical answers are not accepted..lol
1	My husband is under my sponsorship and we are going away for a long weekend together . Will I need to get him and exit permit and if so; how do I go about it ?
0	Hi; can anybody advise me where I find a KIA dealer in Doha? I would like to spend some money there :o) Thanx all in advance
1	is there a place where they make special cakes for children with special designs and shapes like characters and so?
1	Dear all; Can someone give me any information(location/website/telephone) about the corporate office set up in Doha by the upcoming GSM operator Vodafone? hav fun; Jeppezzon
0	i would like to know; how to enter; pass and exit a roundabout in qatar. i heard different versions from different driving schools and seen more different styles. can somebody help?
2	http://www.bbc.co.uk/weather/5day.shtml?world=2162 Wrap up warm this weekend; 2 degrees according to this link (BBC) at 6pm today.
0	I got an offer to work as a faculty at Qatar University. The offer include: FREE 3 Bedrooms villa. Fully furnished. FREE health care (including family members) 2-months paid summer holiday. Round trip holiday ticket 1 month salary gratuity in a year completion. interest free car loan (60;000) A monthly salary of QR 20;500. Would you please advice if this is a good job offer?
1	Hello all; A few weeks ago I had a friend visiting from abroad so I booked a room in Sealine for one night; but due to bad weather we couldn't go. So now I am stuck with the room. I was thinking of taking my girlfriend for the weekend but they have this ""marriage certificate"" rule. My question is; is this rule really implemented? Could We go and I check in by myself then meet up with her and spend a fun day at the beach. Thank you for your help."
2	I got a message that i have a fine of 200 QR for talking on the phone in dafna area; Enno COME ON!!; how do they fine people without giving them tickets; Maybe i was driving and placed my hand on my head but i was not talking on the phone (LOL) ; really is this fair?? 200 QR; thats too much; and my collegues had the same fine in the same area.. Now how does this work??
0	Gets very boring on weekends I guess...Last weekend was one of the slowest in a long time.I was waiting for it to get over.What do people do on weekends here?
0	hi; A friend of mine has been offered a position in Doha with a broadcasting company. He has a family with one child. They have offered him the following: 15000 Riyals p/m 3 bed villa - furnished Education Medical Family Flight home (one per year) Do you think this is a good oppurtunity for them to move out to Doha and will they be able to save much? Thanks
2	Dirty fool idiots & Nonsense people have no righ to live in this world. am i RIGHT ?????
0	Any advice on where to buy maternity clothes? So far; the few malls I've looked has either a terrible selection (i.e. a selection of 3 different items) or the prices are out of control. I'm to the point of buying online and paying to ship. Any ideas? (Please; serious comments only; I'm in no mood for sarcastic;silly; male humor this morning...)
1	hi guys; can u please tell me any place which have gym as well as swimming pool with it in doha?!?!
2	write your reason !!!
0	This is a new skill I am trying to master; how about some advise from some experts on the topic
0	Hi.. I really need some help. Can anyone please suggest me some remedy for pregnancy related dry skin and skin discolouration. My sin is very sensitive and dry...now in pregnancy...its even more....especially my facial skin. This was same for my first pregnancy..but i didnt have a natural remedy. Can anyone suggest a remedy safe for my baby? Thank you very much sajna
1	do you know any institution or organization that offers free Arabic speaking lesson? Please let me know...thanks!
0	Could someone advise the best psychiatrist/psycologist in DOHA?
0	I haven't moved there yet and was wondering how it compares to most European cities... eating out; supermarket shopping; clothes; cosmetics; etc.
0	Dear All; i'm new to this forum and find your comments are real useful. i shall go to Doha for an interview with Qatar Airways. do any of you work with her and can give me some info about how their package like? thank you.
2	Just for fun guys;Who Do You Think is the Most TALKATIVE QLers ? or say in other better word; most ACTIVE PARTICIPANT in threads. Please write down your votes; now............"
0	okay girls....this is a doubt that has been bugging me since quite some time.i've been using this particular shampoo since a few months.it promises to give health and shine to hair.but there are other shampoos which give bounce;strength;volume;etc.is it okay if i mix a couple of shampoos and use?i asked one of my friends and she says it's not advisable.... what do y'all think?
0	I've been in Doha for about a month now. Does anyone know how I can make some quick money? I came to Doha looking for IT work.
0	Ive heard that this school has over 3000 on a waiting list. That cant be true. Schooling is a real problem for us. We want places for January do we have a chance with any British schools. Our kids are very sporty and we are from the UK. What about compass??? Any advice gratefully accepted.
0	hello guys good day...i want to ask about the profession in the qatar id. iam ready to go home anytime to my country to channge my visa into husband sponsor but they tell us we will have a problem with this case. the profession of husband in qatar id is waiter but he is safety coordinator in ras laffan his salary is more than 7000qr.do we have to change this before i go home? thank you very much!
1	Does any one know about any big book store near Family Food center Airport Road from where I can get some books and novels?
0	my dad wants to buy an SUV. price below 135000. right now;looking for a prado.but its not available in qatar right now.shipping problems in japan. even armada is good;but cost is high. any other suggestions?
1	I wanted to know about any genuine garmin GPS dealer here in Qatar. I wanted to have a Garmin GPS installed in my vehicle in case i go outside Qatar to have a short trip.
1	Does anyone know what is the legal ""minimum"" speed limit in Doha? I drive at 70kph (on a road where the max speed limit is 80kph) and everyone's honking at me for driving too slow (by the way; i drive at the ""slow lane"" since I am a newbie at driving). I checked the MOI website and it only mentions the maximum speed limit. Thanks."
0	hi i am new at this forum; so sorry if u were already speaking about this topic. i am planning to move to doha on the end of this year; together with husband. he is chef in the restaurant and we are wondering how to find jobs for both of us . I am speaking english ; arabic; greek and serbian; so maybe if it is possible something in the tourism. which web sites i should visit? thanx
0	Hi guys; I'm hoping that somebody can give me some advice. My husband is in talks with a company about a Senior Project Manager role. The sector is construction. We literally have no idea what we should be asking for regarding salary; housing etc. Could anybody help us and give us a few ideas? Many thanks x
0	How did you spend this unlucky day? I really had a bad they yesterday; although I don't believe in such things.
1	I need a help please. Actually when I checked MOI regarding my driving penalty I found I had points on my license with penalty. But they havent mentioned the reason. Where and how can I find out the reason ?
2	Just a matter of hours now and I’m off! Have been such a tiresome week that seemed to forever! and am so excited things will finally slow down around here; I'll get time to catch my breath! Looks like the weather is going to co-operate (so far!); bring outdoor activities! What are everyone’s plans for the weekend??
1	I will be arriving in Doha on the 10th or 11th of December. My wife will be flying in approximately two weeks later and will be staying with me on my sponsorship for the duration of my contract. When she steps off of the plane in Doha; she will have her passport; but I don't know what else she needs in order to stay in the country with me. Can she get some sort of visitor visa or what? I am not sure what to do here. thanks everyone.
1	Hi all; What is the average cost for a full coverage car insurance per month? Thanks
0	We've been here over 2 years and we're slowly starting to miss the land they call England :( I've just found out that you can watch British TV (bbc1/2/3/4); ITV; C4 & five live through the internet for £20 a month! What a bargain!. This also includes bbc iplayer and around 40 other tv channels. So; the last few nights we've been catching up on some of the UK best shows. Does anyone else watch British TV live? Mimi...
0	Can anyone recommend a GOOD doctor or allergy testing center in Qatar please?
0	Just been browsing the classifieds and there are numerous which say ""Serious Buyers Only"".. Now what does that really mean ? How does the seller know whether I'm a serious buyer or not ? Is it an afront to not-s-serious-buyers ?"
